jp_philosopher,jp_work,jp_chars,sep_slug,sep_chars,similarity,rank
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,innateness-history,50243,0.804,39
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,phenomenology-religion,84812,0.8039,40
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,paul-venice,94097,0.8035,41
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,condillac,96062,0.8021,42
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,perception-justification,99065,0.8019,43
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,life-meaning,82866,0.8008,44
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,knowledge-acquaindescrip,102664,0.8007,45
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,materialism-eliminative,85469,0.8002,46
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,content-externalism,77278,0.8001,47
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,epistemology,168002,0.7998,48
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,panpsychism,105321,0.7997,49
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,kant-transcendental-idealism,140523,0.7974,50
Nishida Kitarō / 西田幾多郎,"絶対矛盾的自己同一 (Absolute Contradictory Self-Identity, 1939)",50322,existentialism,91940,0.8128,1
Nishida Kitarō / 西田幾多郎,"絶対矛盾的自己同一 (Absolute Contradictory Self-Identity, 1939)",50322,authenticity,81400,0.779,2
Nishida Kitarō / 西田幾多郎,"絶対矛盾的自己同一 (Absolute Contradictory Self-Identity, 1939)",50322,identity-personal,63793,0.7746,3
Nishida Kitarō / 西田幾多郎,"絶対矛盾的自己同一 (Absolute Contradictory Self-Identity, 1939)",50322,dilthey,85569,0.7664,4
Nishida Kitarō / 西田幾多郎,"絶対矛盾的自己同一 (Absolute Contradictory Self-Identity, 1939)",50322,universals-medieval,122355,0.7628,5
Nishida Kitarō / 西田幾多郎,"絶対矛盾的自己同一 (Absolute Contradictory Self-Identity, 1939)",50322,personalism,91097,0.7588,6
Nishida Kitarō / 西田幾多郎,"絶対矛盾的自己同一 (Absolute Contradictory Self-Identity, 1939)",50322,nagarjuna,90278,0.7574,7
Nishida Kitarō / 西田幾多郎,"絶対矛盾的自己同一 (Absolute Contradictory Self-Identity, 1939)",50322,personhood-india,72984,0.7571,8
Nishida Kitarō / 西田幾多郎,"絶対矛盾的自己同一 (Absolute Contradictory Self-Identity, 1939)",50322,spinoza,91786,0.7561,9
Nishida Kitarō / 西田幾多郎,"絶対矛盾的自己同一 (Absolute Contradictory Self-Identity, 1939)",50322,identity-transworld,94721,0.756,10
Nishida Kitarō / 西田幾多郎,"絶対矛盾的自己同一 (Absolute Contradictory Self-Identity, 1939)",50322,leibniz-modal,58058,0.7556,11
Nishida Kitarō / 西田幾多郎,"絶対矛盾的自己同一 (Absolute Contradictory Self-Identity, 1939)",50322,dualism,131959,0.7554,12
Nishida Kitarō / 西田幾多郎,"絶対矛盾的自己同一 (Absolute Contradictory Self-Identity, 1939)",50322,metaphysics,101624,0.7551,13
Nishida Kitarō / 西田幾多郎,"絶対矛盾的自己同一 (Absolute Contradictory Self-Identity, 1939)",50322,buddhism-tiantai,156231,0.7483,14
Nishida Kitarō / 西田幾多郎,"絶対矛盾的自己同一 (Absolute Contradictory Self-Identity, 1939)",50322,neoplatonism,39988,0.7396,15
Nishida Kitarō / 西田幾多郎,"絶対矛盾的自己同一 (Absolute Contradictory Self-Identity, 1939)",50322,gasset,181593,0.7382,16
Nishida Kitarō / 西田幾多郎,"絶対矛盾的自己同一 (Absolute Contradictory Self-Identity, 1939)",50322,life-meaning,82866,0.7364,17
Nishida Kitarō / 西田幾多郎,"絶対矛盾的自己同一 (Absolute Contradictory Self-Identity, 1939)",50322,self-consciousness-phenomenological,78191,0.7359,18
Nishida Kitarō / 西田幾多郎,"絶対矛盾的自己同一 (Absolute Contradictory Self-Identity, 1939)",50322,human-nature,120886,0.7353,19
